model,group_id,n,mae,rmse,r2,negative_predictions
Physics+LightGBM,CMP-training-053.csv,8,2.882815367144885,3.3711017518000364,0.11932850634488268,0
Physics+LightGBM,CMP-training-056.csv,1,2.9899815466434916,2.9899815466434916,,0
Physics+LightGBM,CMP-training-058.csv,5,4.858140635061441,4.980240882214119,-3.636783128314085,0
Physics+LightGBM,CMP-training-059.csv,1,0.7444748123244409,0.7444748123244409,,0
Physics+LightGBM,CMP-training-063.csv,1,4.589814550701391,4.589814550701391,,0
Physics+LightGBM,CMP-training-067.csv,2,3.6020445883539978,4.491037955369667,-123.94751736959296,0
Physics+LightGBM,CMP-training-071.csv,3,8.812704648034659,9.889735780706317,-188.4691218993309,0
Physics+LightGBM,CMP-training-072.csv,58,2.767150361526808,3.6767878912633916,0.10827347343927751,0
Physics+LightGBM,CMP-training-087.csv,61,2.6411794014630745,3.8350556925835466,0.4020630866189341,0
Physics+LightGBM,CMP-training-099.csv,3,3.951368776833623,4.080946949275682,-4.870476276445271,0
Physics+LightGBM,CMP-training-101.csv,64,4.649267578846765,5.772641761964616,-0.8668451182452208,0
Physics+LightGBM,CMP-training-115.csv,7,6.212941135326332,7.210258033187829,-2.1347450252898783,0
Physics+LightGBM,CMP-training-118.csv,4,3.7179315020379455,3.8182414249257413,-3.7563949467655613,0
Physics+LightGBM,CMP-training-130.csv,4,8.851357371293176,9.16679451865433,-6.922950742609946,0
Physics+LightGBM,CMP-training-134.csv,85,5.180832886535634,6.35098125335773,-0.5463195022765139,0
Physics+LightGBM,CMP-training-137.csv,62,4.934146594385545,6.153525462635896,-0.8719469299052838,0
Physics+LightGBM,CMP-training-145.csv,11,11.701699244814495,12.131967866813072,-6.5514401904010935,0
Physics+LightGBM,CMP-training-166.csv,3,4.669477695685013,5.484201763861668,-15.82682936395463,0
Physics+LightGBM,CMP-training-167.csv,6,8.538792876994705,8.847640565839189,-5.465999159197901,0
Physics+LightGBM,CMP-training-169.csv,3,2.552746393514743,3.3122426631613866,-5.587581311094073,0
Physics+LightGBM,CMP-training-171.csv,9,3.3590680690975177,4.046804766541393,-1.6132133953326355,0
Physics+LightGBM,CMP-training-172.csv,43,4.279700333150834,5.35994306225627,-0.9612320928423477,0
Physics+LightGBM,CMP-training-182.csv,3,6.939774358729399,8.019246473417045,-14.308556217903877,0
PrestonInspired,CMP-training-014.csv,22,7.584558461156863,8.437352282566707,0.26899047145506305,0
PrestonInspired,CMP-training-018.csv,1,14.931263759645816,14.931263759645816,,0
PrestonInspired,CMP-training-029.csv,5,1.8282298341802516,2.0283175064150503,-2.891627979381458,0
PrestonInspired,CMP-training-044.csv,1,15.161254254999527,15.161254254999527,,0
PrestonInspired,CMP-training-045.csv,3,14.394564011347128,14.427494652175115,-167.71025148811069,0
PrestonInspired,CMP-training-047.csv,3,7.339541437401159,7.509004206503159,-30.427270493068598,0
PrestonInspired,CMP-training-049.csv,3,15.307568367024068,15.442035525817937,-47.3465216696531,0
PrestonInspired,CMP-training-051.csv,4,6.724621208815201,7.029209826149911,0.15248302966762295,0
PrestonInspired,CMP-training-053.csv,8,5.235098111466318,5.335446169288824,-1.2060314597065354,0
PrestonInspired,CMP-training-056.csv,1,8.234485793203419,8.234485793203419,,0
PrestonInspired,CMP-training-058.csv,5,3.612859487189405,3.973924009875681,-1.9522640753545422,0
PrestonInspired,CMP-training-059.csv,1,3.601467181616897,3.601467181616897,,0
PrestonInspired,CMP-training-063.csv,1,11.448419105022921,11.448419105022921,,0
