cohort,stage,model,primary,slice,n,mae,rmse,r2,negative_predictions,coverage_90,mean_interval_width
test,A,CatBoost,True,group_id=test/CMP-test-109.csv,2,2.4902684665707255,2.5901105084920113,-10.72168427261927,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-112.csv,1,0.48103440152650023,0.48103440152650023,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-115.csv,5,1.5374162492161134,1.9977202805480228,-0.547150796416175,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-116.csv,1,0.012842945478666934,0.012842945478666934,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-119.csv,1,0.4275206038300041,0.4275206038300041,,0,1.0,16.094901413421297
test,A,CatBoost,True,group_id=test/CMP-test-120.csv,3,5.545771417991479,6.143446579358462,0.9757883082239314,0,0.6666666666666666,16.09490141342128
test,A,CatBoost,True,group_id=test/CMP-test-126.csv,1,9.562476471928278,9.562476471928278,,0,0.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-128.csv,3,3.920597358695853,4.768620827017249,0.512504008532795,0,1.0,16.09490141342128
test,A,CatBoost,True,group_id=test/CMP-test-134.csv,1,3.1854213549344053,3.1854213549344053,,0,1.0,16.094901413421283
test,A,CatBoost,True,group_id=test/CMP-test-135.csv,2,2.3284077656107627,2.747329388307088,-1.175207351114044,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-136.csv,1,2.313525101128164,2.313525101128164,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-142.csv,1,1.0464525212904476,1.0464525212904476,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-144.csv,1,0.9347915520353638,0.9347915520353638,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-147.csv,1,0.7703683527859937,0.7703683527859937,,0,1.0,16.094901413421297
test,A,CatBoost,True,group_id=test/CMP-test-148.csv,1,1.563116250664578,1.563116250664578,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-150.csv,2,2.284366038811463,2.4684149952379197,0.48625465732420703,0,1.0,16.094901413421297
test,A,CatBoost,True,group_id=test/CMP-test-154.csv,1,3.003024618440037,3.003024618440037,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-158.csv,2,1.6137295629655313,2.1984967054534965,-0.17686399593173552,0,1.0,16.094901413421283
test,A,CatBoost,True,group_id=test/CMP-test-164.csv,1,2.7855013560817383,2.7855013560817383,,0,1.0,16.094901413421297
test,A,CatBoost,True,group_id=test/CMP-test-165.csv,1,2.3470857864242873,2.3470857864242873,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-167.csv,2,0.7185926592493104,0.7939795784659259,-1.6947059665054374,0,1.0,16.09490141342127
