track,split,model,repeat,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P1_ERT,7,296,39.893837596760946,6.316156869233137,4.380766178209462,0.9486562420072617,0.051012437537059176,5.101243753705917,1.630334871137159,0.6303348711371587
grouped,test,P1_ERT,8,296,39.618865618760964,6.294351882343484,4.382847869087841,0.9490101336242056,0.05099043550082058,5.099043550082058,1.6256829717791983,0.6256829717791984
grouped,test,P1_ERT,9,296,41.44669912703696,6.43791108412014,4.467804298986488,0.9466576940758088,0.05195785020048606,5.195785020048606,1.6506107024816503,0.6506107024816503
grouped,test,P1_ERT,10,296,39.686181146934494,6.299696909132573,4.3418374206081145,0.9489234978830511,0.0504441059566045,5.04441059566045,1.6195351272425822,0.6195351272425823
grouped,test,P1_ERT,11,296,35.401390165951625,5.9499067359036495,4.199288196790539,0.9544380656566691,0.049195535980478655,4.919553598047866,1.5775568153383226,0.5775568153383227
grouped,test,P1_ERT,12,296,37.79626969005592,6.147867084612022,4.3226093285472995,0.9513558323566229,0.0506399262455161,5.06399262455161,1.6123585797813476,0.6123585797813477
grouped,test,P1_ERT,13,296,41.494871484254766,6.441651301045002,4.402402130067567,0.9465956957823397,0.051102633749204165,5.110263374920416,1.644192200153649,0.6441922001536491
grouped,test,P1_ERT,14,296,41.7157073498379,6.458769801582799,4.385561356418921,0.9463114778699587,0.05085868219734425,5.085868219734425,1.6568596004360074,0.6568596004360077
grouped,test,P1_ERT,15,296,39.50702216183296,6.285461173361344,4.345476988175679,0.94915407724386,0.05037830192801007,5.037830192801007,1.617221769846676,0.6172217698466761
grouped,test,P1_ERT,16,296,40.65410172447817,6.376056910385773,4.434781135135135,0.947677774661537,0.051867768413444905,5.18677684134449,1.6436830682043824,0.6436830682043821
grouped,test,P1_ERT,17,296,41.390737145427465,6.433563331889061,4.48548657516892,0.9467297176918268,0.052196141016941734,5.219614101694173,1.650237874976087,0.6502378749760869
grouped,test,P1_ERT,18,296,39.02253689931643,6.246802133837475,4.328770844594596,0.9497776145009454,0.050348301768577366,5.034830176857737,1.6172335295179263,0.6172335295179263
grouped,test,P1_ERT,19,296,38.92084725294133,6.238657488029081,4.369838728885137,0.9499084900674083,0.05110652560136608,5.110652560136608,1.6243820224233954,0.6243820224233956
grouped,test,P1_GBT,0,296,129.58415185519172,11.383503496515988,5.402858375978358,0.8332239329843912,0.0653955644223642,6.53955644223642,25.035758890021434,24.035758890021434
grouped,test,P1_GBT,1,296,126.89259596356501,11.264661378113637,5.376858859682225,0.8366879916623369,0.06502466589938975,6.502466589938975,24.339566350566365,23.339566350566365
grouped,test,P1_GBT,2,296,127.40428632565292,11.28735072218689,5.365138428700464,0.8360294411768254,0.06495606384495536,6.495606384495536,24.504563821529327,23.504563821529327
grouped,test,P1_GBT,3,296,130.87079640617486,11.4398774646486,5.327679707444477,0.831568008901176,0.0648731547866172,6.487315478661721,26.185340223502955,25.185340223502955
